3;11;11;11;11;11;11;11;11;11;8;11;11;11;11;11;11;11;11;11;4
12;18;1;1;1;1;17;1;1;1;12;1;1;1;1;1;1;1;1;1;12
12;1;13;11;15;1;3;11;15;1;12;1;13;11;4;1;13;11;15;1;12
12;1;1;1;1;1;12;1;1;1;12;1;1;1;12;1;17;1;1;1;12
12;1;13;11;11;11;5;1;14;1;16;1;14;1;6;11;11;11;15;1;12
12;1;1;1;1;1;1;1;12;1;1;1;12;1;1;1;1;1;1;1;12
7;11;11;11;15;1;14;1;7;11;11;11;9;1;14;1;13;11;11;11;9
12;1;1;1;1;1;12;1;12;1;1;1;12;1;12;1;1;1;1;1;12
12;1;13;11;11;11;9;1;16;1;14;1;16;1;7;11;11;11;15;1;12
12;1;1;1;1;1;16;1;1;1;12;1;1;1;16;1;1;1;1;1;12
7;11;11;11;15;1;1;1;13;11;2;11;15;1;1;1;13;11;11;11;9
12;19;17;1;1;1;14;1;1;1;12;1;1;17;14;1;17;1;1;1;12
12;1;13;11;11;11;9;1;14;17;16;17;14;1;7;11;11;11;15;1;12
12;1;1;1;1;1;12;1;12;1;1;1;12;1;12;1;1;1;1;1;12
7;11;11;11;15;1;16;1;7;11;11;11;9;1;16;1;13;11;11;11;9
12;1;1;1;1;1;1;1;12;1;1;1;12;1;1;1;1;1;1;1;12
12;17;13;11;11;11;4;1;16;1;14;1;16;1;3;11;11;11;15;1;12
12;1;1;1;1;1;12;1;1;1;12;1;1;1;12;1;1;1;1;1;12
12;1;13;11;15;1;6;11;15;1;12;1;13;11;5;1;13;11;15;1;12
12;17;1;1;1;1;1;1;1;1;12;1;1;1;1;1;1;1;1;1;12
6;11;11;11;11;11;11;11;11;11;10;11;11;11;11;11;11;11;11;11;5
